month;Google Adwords - Brand Campaigns;Google Adwords - Non Brand Campaigns;Facebook Campaigns;Partners
1;572.37;1,955.21;3,016.35;680.00
2;889.42;2,581.96;3,012.13;1,310.00
3;1,121.59;2,775.08;3,006.70;880.00
4;967.67;3,509.21;3,192.01;860.00
5;2,257.36;3,669.99;3,134.90;760.00
6;2,061.81;2,817.27;2,791.81;850.00
7;1,469.86;3,605.77;3,455.85;910.00
8;1,728.74;3,307.88;3,153.30;790.00
9;1,790.81;2,525.43;3,149.66;890.00
10;1,604.68;2,338.69;3,144.47;1,000.00
11;1,566.79;2,277.03;3,155.96;1,120.00
12;1,007.29;1,750.88;2,541.00;890.00
13;678.90;1,512.83;2,449.99;930.00
14;659.93;1,294.96;2,447.40;1,130.00
15;854.66;1,612.65;2,451.54;930.00
16;1,370.34;1,281.14;2,449.46;910.00
17;1,066.64;1,377.45;2,451.08;1,060.00
18;931.62;1,744.90;2,446.45;990.00
19;1,693.10;2,314.55;2,452.42;1,120.00
20;1,354.28;2,507.81;2,449.82;1,070.00
